age,bmi,smoker,exercise_days_per_week,health_risk
40,26.7,0,2,0
41,28.4,0,7,0
54,21.4,0,5,0
52,39.2,1,1,1
61,27.6,0,0,0
57,27.5,0,5,0
39,30.6,0,1,0
44,29.4,0,4,0
52,28.1,0,6,0
18,23.0,0,3,0
52,29.4,0,7,0
54,36.4,0,2,1
64,33.7,1,4,1
31,35.0,1,2,1
20,24.4,0,5,0
18,22.1,0,0,0
22,26.4,0,0,0
43,27.3,0,0,0
31,32.5,0,7,0
56,18.5,0,2,0
44,34.6,0,4,0
26,26.2,1,0,0
32,24.9,0,4,0
32,21.9,0,2,0
43,18.7,1,7,0
59,31.1,0,5,0
30,27.4,0,7,0
68,20.6,0,4,0
49,20.5,0,7,0
56,25.3,1,7,0
66,35.3,0,5,0
69,25.7,0,2,0
49,19.5,1,2,0
21,25.8,1,3,0
47,25.6,1,7,0
54,13.5,0,2,0
40,26.7,0,2,0
56,25.8,1,1,1
62,30.5,1,0,1
32,36.2,0,3,0
60,32.6,0,6,0
46,25.7,0,3,0
53,21.5,1,3,1
30,39.9,0,6,0
49,27.3,0,1,0
24,27.1,0,7,0
68,26.9,0,5,0
39,28.0,1,2,0
45,26.3,0,0,0
19,24.1,1,4,0
59,24.3,1,7,0
62,26.8,0,6,0
23,24.3,0,5,0
45,23.4,0,7,0
45,27.5,1,6,0
61,25.7,0,2,0
61,34.5,0,1,1
37,13.7,1,7,0
47,32.5,0,6,0
28,33.2,1,2,1
45,16.6,0,2,0
42,25.3,0,1,0
56,25.1,0,3,0
50,20.0,1,7,0
18,23.1,0,7,0
44,21.4,1,3,0
69,35.8,1,0,1
30,31.7,0,0,0
58,33.4,1,3,1
20,30.6,0,5,0
56,21.4,0,4,0
23,24.4,0,2,0
25,29.4,1,4,0
44,20.9,0,2,0
26,30.6,0,3,0
54,25.8,0,0,0
50,25.1,0,5,0
68,30.6,0,0,1
59,29.2,1,4,1
61,25.2,1,0,1
41,32.8,0,3,0
32,21.6,1,5,0
49,30.1,0,4,0
49,30.0,1,5,0
41,25.5,0,7,0
58,28.6,0,2,0
69,20.7,0,0,0
66,31.6,1,5,1
66,26.1,0,1,0
69,24.4,0,7,0
29,32.2,0,0,0
56,23.5,0,2,0
19,20.0,0,5,0
20,19.2,0,4,0
66,30.0,1,2,1
54,20.6,0,1,0
66,35.8,0,5,0
34,16.6,0,6,0
66,35.5,1,6,1
19,28.1,1,3,0
19,26.5,0,0,0
45,24.3,0,4,0
40,29.0,0,3,0
54,26.8,0,5,0
49,32.5,1,6,0
50,27.6,0,6,0
18,27.8,0,6,0
36,25.2,0,5,0
19,26.7,1,6,0
61,28.5,0,2,0
43,18.4,0,7,0
49,20.3,0,5,0
23,30.7,1,4,1
49,27.9,0,7,0
21,26.1,0,3,0
28,27.1,0,4,0
34,28.7,0,7,0
55,24.3,0,1,0
41,23.1,0,6,0
22,28.0,0,1,0
69,22.1,0,0,0
51,29.0,0,0,0
23,18.5,1,7,0
39,32.1,0,1,0
28,29.4,1,5,0
65,28.3,0,4,0
33,31.9,0,1,0
50,35.3,0,0,0
26,32.1,0,1,0
23,17.8,0,5,0
33,20.6,0,1,0
46,23.9,0,4,0
20,27.1,1,3,0
37,29.6,0,5,0
53,23.4,1,0,1
36,27.9,0,4,0
43,23.2,0,1,0
20,23.9,0,1,0
36,20.0,0,3,0
37,22.4,0,0,0
49,20.2,0,0,0
24,22.1,0,2,0
69,32.3,0,0,1
58,22.3,0,3,0
50,40.2,1,6,0
57,29.5,1,2,1
56,27.9,1,2,1
35,22.7,1,1,0
57,30.5,0,1,1
18,24.1,0,0,0
28,27.6,1,2,0
45,39.8,0,7,0
42,26.5,0,1,0
67,32.7,0,3,1
40,23.5,0,7,0
48,26.8,0,1,0
47,35.9,1,5,0
59,23.9,0,5,0
52,36.1,0,1,1
24,30.5,1,2,1
33,24.2,0,6,0
43,30.2,0,6,0
65,31.9,0,2,1
69,30.1,0,4,1
66,19.1,1,6,0
19,23.4,0,5,0
18,25.8,1,3,0
65,26.6,0,2,0
29,30.1,1,0,1
22,27.9,1,5,0
54,20.3,1,3,1
49,28.9,0,3,0
26,30.1,1,2,1
58,29.8,0,3,0
52,32.4,0,2,1
36,31.2,1,6,0
65,29.3,0,1,0
33,26.6,1,5,0
20,18.7,0,4,0
37,29.1,0,1,0
41,28.0,0,5,0
50,28.4,0,2,0
41,20.6,0,5,0
69,21.6,0,6,0
28,32.3,0,2,0
66,26.8,0,1,0
25,30.4,0,0,0
53,27.1,0,0,0
55,27.1,0,7,0
57,31.7,0,7,0
37,24.4,0,5,0
52,27.5,1,0,1
65,24.7,1,2,1
42,24.8,0,3,0
52,25.5,0,2,0
42,28.1,1,3,0
46,24.6,0,1,0
35,33.3,0,4,0
63,22.5,0,3,0
35,26.1,1,0,0
19,24.8,0,2,0
52,34.2,0,1,1
33,28.0,1,0,0
58,32.2,1,1,1
53,19.6,0,4,0
50,28.3,0,6,0
21,31.4,1,2,1
50,27.4,0,5,0
31,32.3,0,2,0
38,24.4,0,7,0
65,34.0,1,4,1
37,38.5,0,2,0
25,25.2,1,7,0
24,24.8,1,5,0
20,34.3,0,3,0
34,34.9,0,1,0
50,24.4,0,5,0
65,24.9,0,0,0
29,25.6,0,4,0
68,20.3,1,3,1
39,22.4,0,0,0
39,22.0,1,0,0
63,23.2,0,4,0
47,26.8,0,3,0
55,28.2,0,6,0
55,34.8,0,0,1
62,22.0,0,0,0
68,31.9,0,3,1
25,25.9,0,2,0
44,26.8,0,0,0
44,30.4,0,1,0
51,21.4,0,3,0
38,28.9,0,0,0
47,27.8,1,4,0
50,29.5,0,5,0
45,28.4,0,1,0
64,39.3,0,7,0
50,23.8,0,7,0
22,24.3,0,5,0
65,23.9,0,7,0
36,24.2,0,5,0
21,23.8,0,0,0
52,32.9,0,1,1
66,34.1,0,1,1
34,24.1,0,2,0
61,22.8,1,5,0
45,29.4,0,1,0
47,24.2,0,2,0
46,30.2,0,3,0
63,28.0,0,2,0
23,19.4,0,4,0
52,34.7,0,6,0
58,36.0,0,0,1
54,23.9,0,3,0
41,25.1,0,6,0
46,28.4,0,6,0
66,28.7,0,3,0
63,30.3,0,4,1
48,37.1,0,2,0
52,26.1,1,0,1
50,23.0,0,2,0
69,20.1,0,1,0
38,23.3,0,2,0
49,26.8,1,7,0
40,36.0,0,3,0
50,24.4,0,0,0
20,28.1,0,2,0
35,26.9,0,0,0
42,32.9,0,0,0
59,39.6,0,1,1
48,24.3,1,1,0
20,24.6,0,3,0
57,32.2,0,4,1
63,30.4,1,7,1
41,36.2,0,6,0
67,29.9,0,0,0
49,25.2,0,4,0
64,30.0,0,6,0
39,32.5,0,6,0
40,31.1,1,7,0
19,29.5,0,3,0
44,32.3,0,6,0
59,32.8,0,7,0
19,33.9,1,6,0
43,30.2,1,0,1
34,26.2,1,0,0
57,27.7,0,5,0
50,33.0,0,4,0
26,22.9,0,2,0
60,28.8,0,7,0
65,25.0,0,1,0
56,27.1,0,7,0
46,33.4,0,2,0
59,28.0,0,4,0
43,27.2,0,1,0
52,20.2,0,2,0
67,30.7,0,5,0
42,30.2,0,1,0
41,37.8,0,0,0
30,25.5,1,2,0
24,28.1,0,7,0
53,28.2,0,1,0
62,34.9,0,5,0
37,26.5,1,7,0
18,28.4,0,6,0
25,30.0,0,1,0
63,27.9,0,1,0
33,24.8,0,5,0
31,28.0,0,6,0
29,32.4,0,2,0
68,21.9,1,3,1
40,27.7,0,2,0
32,23.5,1,6,0
45,33.0,0,4,0
51,19.4,0,7,0
19,24.2,1,5,0
49,28.9,0,2,0
40,34.8,0,1,0
39,26.7,0,5,0
68,24.2,0,0,0
42,36.4,0,6,0
39,19.8,0,7,0
39,16.0,0,2,0
66,29.2,0,5,0
69,24.5,0,7,0
59,21.9,0,2,0
23,30.5,0,5,0
32,28.2,0,1,0
60,24.2,0,0,0
54,20.6,0,0,0
50,31.4,1,4,1
25,30.3,0,5,0
61,26.5,0,2,0
61,36.2,0,0,1
22,21.6,0,6,0
56,19.4,0,0,0
21,23.5,1,3,0
23,26.8,0,3,0
62,28.2,1,0,1
49,25.8,1,5,0
69,28.8,1,4,1
47,20.7,1,0,0
64,34.2,0,1,1
52,26.6,0,7,0
57,32.6,0,2,1
69,28.7,0,4,0
33,29.3,0,1,0
30,29.8,0,4,0
67,29.2,0,1,0
59,30.2,0,2,1
47,33.6,0,2,0
36,28.0,0,3,0
34,30.5,0,5,0
36,26.6,1,1,0
45,34.2,0,7,0
43,23.6,0,3,0
54,36.0,0,1,1
43,26.8,0,3,0
40,19.8,0,2,0
26,27.6,0,4,0
29,23.6,0,6,0
18,31.2,0,3,0
18,23.7,0,1,0
64,24.8,0,1,0
51,17.6,0,6,0
49,24.7,0,5,0
65,14.9,0,7,0
42,19.1,1,2,0
57,30.8,0,1,1
62,30.9,0,0,1
18,29.1,0,4,0
33,22.2,0,3,0
56,26.8,0,5,0
22,27.0,0,7,0
39,21.2,1,6,0
46,34.5,0,4,0
20,31.4,0,2,0
29,25.9,0,5,0
43,27.1,0,7,0
33,28.0,0,3,0
68,16.8,0,3,0
54,25.8,1,6,0
39,23.6,0,0,0
46,22.0,0,6,0
31,25.6,1,2,0
45,36.0,0,5,0
22,30.2,1,5,0
64,24.1,0,1,0
66,29.9,1,0,1
47,34.0,0,0,0
63,31.6,1,5,1
69,27.3,1,5,0
22,23.8,0,4,0
29,30.5,1,7,0
33,29.0,0,4,0
43,31.5,0,4,0
43,30.2,0,0,0
65,32.2,0,1,1
38,24.3,0,3,0
56,33.6,0,4,1
53,28.0,0,1,0
50,37.4,1,6,0
47,23.6,1,2,0
54,35.7,0,4,1
40,28.0,0,6,0
27,23.7,0,3,0
22,24.6,0,2,0
53,25.4,0,2,0
51,29.1,0,3,0
69,29.6,0,4,0
48,24.1,1,0,0
27,26.9,0,3,0
36,37.7,0,3,0
49,35.6,0,3,0
18,29.2,0,2,0
22,27.2,0,7,0
62,27.6,0,1,0
21,30.1,0,6,0
33,21.9,0,0,0
41,25.7,1,4,0
33,18.7,1,4,0
19,29.0,0,6,0
66,30.2,0,1,1
45,24.6,0,3,0
49,34.9,0,7,0
44,20.9,0,0,0
37,19.7,0,4,0
41,28.1,0,6,0
29,32.2,0,5,0
67,35.4,0,7,0
52,24.7,1,6,0
50,32.4,1,7,0
50,26.8,0,4,0
68,26.1,0,3,0
60,31.4,1,5,1
54,30.3,0,1,1
29,19.1,1,0,0
20,34.4,0,1,0
18,33.9,1,1,1
50,23.9,0,6,0
57,29.0,1,7,0
27,29.5,1,0,0
60,28.3,0,0,0
61,24.2,0,4,0
46,23.6,1,4,0
30,26.9,0,0,0
29,32.9,1,5,0
48,29.7,0,2,0
63,25.1,0,4,0
19,30.9,0,2,0
68,12.8,0,6,0
67,32.7,1,5,1
52,18.3,0,0,0
40,25.2,0,5,0
34,21.4,0,4,0
43,20.5,0,1,0
25,32.8,1,6,0
46,24.7,1,0,0
43,28.7,0,3,0
27,26.8,1,6,0
43,29.4,1,7,0
51,27.4,0,2,0
68,20.6,1,5,0
58,32.0,0,0,1
24,24.5,0,6,0
21,19.2,1,5,0
67,24.9,0,0,0
62,34.5,1,4,1
28,31.3,1,6,0
46,25.3,0,4,0
53,25.3,1,6,0
42,25.4,0,4,0
38,37.4,0,7,0
53,28.9,0,5,0
27,29.2,1,3,0
54,32.2,0,6,0
26,28.2,0,7,0
41,25.7,0,6,0
52,26.0,0,4,0
66,26.6,0,0,0
52,26.8,0,6,0
65,30.6,0,7,0
53,27.3,0,4,0
35,30.7,1,1,1
66,26.6,0,4,0
56,27.4,0,5,0
49,17.0,1,3,0
41,31.6,0,1,0
40,28.7,1,5,0
49,32.0,0,5,0
54,12.5,1,5,0
29,37.4,0,0,0
66,26.3,0,5,0
30,32.5,0,0,0
40,21.8,1,5,0
42,30.1,0,2,0
52,21.7,0,7,0
58,23.9,1,1,1
47,36.6,1,2,1
34,26.0,0,5,0
66,28.1,1,1,1
37,31.4,1,1,1
65,29.5,0,6,0
42,27.8,0,3,0
39,28.8,0,2,0
30,39.0,0,3,0
36,26.7,0,1,0
66,28.0,0,0,0
53,32.3,0,1,1
29,32.5,0,3,0
58,32.9,0,2,1
36,30.2,1,5,0
29,21.3,1,6,0
26,35.2,0,6,0
24,21.3,1,6,0
45,28.5,0,5,0
31,23.2,0,6,0
48,26.7,0,2,0
69,28.6,0,5,0
36,28.6,1,6,0
64,29.1,0,5,0
33,35.1,0,3,0
22,29.3,0,7,0
52,25.8,0,7,0
29,31.8,0,2,0
42,32.9,0,4,0
69,20.9,0,0,0
38,30.0,1,6,0
53,30.5,1,0,1
40,25.5,0,5,0
33,33.9,1,0,1
56,26.2,0,2,0
62,27.6,0,2,0
59,26.1,0,1,0
56,27.1,0,7,0
31,21.5,1,6,0
48,19.8,0,1,0
22,35.0,0,0,0
52,22.8,0,4,0
40,22.0,0,1,0
46,16.2,1,1,0
60,23.8,0,2,0
28,20.4,0,4,0
35,35.2,0,5,0
64,32.0,0,0,1
29,23.6,0,1,0
26,38.3,0,4,0
27,31.9,0,7,0
61,25.4,0,6,0
34,14.5,1,4,0
55,38.5,1,7,1
24,20.1,0,0,0
63,18.8,0,4,0
30,32.1,0,7,0
57,39.2,1,4,1
59,33.9,0,4,1
26,29.8,0,6,0
67,30.0,0,7,0
44,31.3,0,7,0
19,30.8,0,1,0
22,28.4,0,0,0
46,27.5,0,6,0
54,26.7,0,4,0
55,23.2,0,4,0
36,25.6,0,1,0
25,18.5,0,0,0
65,26.5,0,2,0
62,22.1,0,6,0
18,21.5,0,1,0
39,27.9,1,0,0
69,34.0,0,6,0
34,31.6,0,4,0
24,19.1,0,0,0
42,22.1,0,0,0
62,31.7,0,5,0
21,22.1,0,0,0
53,25.9,0,2,0
23,29.8,1,0,0
48,22.2,0,2,0
36,27.5,1,4,0
61,20.3,1,2,1
56,24.0,0,6,0
44,28.6,1,4,0
27,19.0,0,4,0
43,29.2,1,2,0
36,26.9,0,7,0
56,29.8,0,1,0
20,28.1,0,3,0
62,33.8,0,7,0
30,27.6,0,0,0
67,24.9,0,5,0
45,27.6,0,3,0
37,29.7,0,0,0
45,27.2,0,7,0
25,27.2,0,7,0
58,23.5,1,0,1
56,23.7,1,4,1
18,20.0,1,0,0
20,35.7,0,5,0
30,20.8,0,7,0
45,23.5,0,0,0
66,23.4,1,2,1
42,31.5,0,3,0
50,25.5,0,2,0
55,33.2,0,5,0
23,23.6,1,0,0
61,28.4,0,6,0
62,22.8,0,5,0
49,37.7,0,4,0
62,21.1,0,2,0
64,28.5,0,2,0
38,30.2,0,1,0
33,29.1,0,0,0
38,26.1,1,4,0
28,26.4,0,6,0
54,27.2,1,2,1
53,26.3,1,2,1
52,31.8,0,4,1
36,38.1,0,5,0
37,24.2,0,5,0
35,20.2,1,0,0
64,26.6,0,7,0
58,39.9,0,1,1
66,23.0,0,2,0
31,35.2,0,7,0
32,35.4,0,7,0
48,24.2,0,1,0
18,29.8,0,7,0
20,35.1,0,7,0
33,25.1,0,5,0
40,26.0,0,5,0
28,24.1,0,3,0
29,21.9,0,6,0
27,23.8,1,0,0
49,20.9,0,7,0
33,27.2,0,3,0
25,23.2,0,6,0
55,28.2,0,3,0
29,19.2,0,3,0
41,28.7,0,0,0
45,31.2,1,0,1
25,17.0,0,4,0
45,28.9,0,1,0
53,33.1,0,1,1
43,21.0,0,4,0
25,35.4,0,4,0
67,29.1,0,5,0
45,23.5,0,6,0
45,26.7,0,3,0
54,29.8,0,7,0
58,27.4,0,4,0
53,29.7,0,2,0
44,22.4,0,1,0
34,27.8,1,4,0
26,19.9,0,2,0
50,26.4,0,2,0
37,22.5,0,2,0
30,23.3,1,5,0
45,33.2,1,5,0
65,32.5,0,7,0
46,30.0,1,7,0
30,21.5,0,2,0
63,25.4,0,6,0
52,33.1,1,5,1
23,27.7,1,3,0
35,38.6,0,2,0
68,29.0,0,3,0
22,28.0,0,3,0
64,25.5,0,2,0
42,27.7,1,1,0
19,26.2,0,6,0
27,30.5,0,2,0
47,31.8,0,7,0
67,23.1,0,2,0
62,20.3,0,5,0
22,17.8,0,2,0
50,29.5,1,1,0
18,21.5,1,5,0
35,16.2,0,7,0
49,28.9,1,0,0
64,39.5,1,0,1
66,27.0,1,3,1
28,31.2,0,6,0
38,27.4,0,3,0
43,26.5,0,1,0
42,31.6,0,4,0
39,25.5,0,7,0
44,28.3,0,6,0
66,28.6,0,7,0
30,23.7,0,0,0
50,32.0,0,3,0
51,26.1,0,7,0
58,23.2,1,0,1
52,29.7,1,1,1
18,22.5,1,1,0
38,27.1,1,4,0
65,27.0,0,7,0
23,32.4,1,4,1
45,29.4,0,5,0
34,26.9,0,6,0
22,31.1,0,7,0
48,34.0,0,1,0
22,29.8,0,3,0
55,27.1,0,0,0
20,20.4,1,2,0
40,21.7,0,4,0
54,25.5,0,2,0
54,24.0,1,7,0
27,26.1,0,3,0
27,27.3,0,4,0
36,29.6,0,2,0
34,26.6,0,6,0
38,29.4,0,3,0
31,27.3,1,0,0
26,17.1,0,6,0
63,22.3,0,3,0
18,26.3,1,5,0
68,21.0,0,4,0
62,30.0,0,1,0
30,34.7,0,0,0
21,33.1,0,7,0
18,25.9,0,6,0
66,34.5,0,6,0
57,27.7,0,2,0
49,25.3,1,4,0
51,23.9,0,7,0
45,25.5,0,1,0
48,25.1,0,3,0
25,27.9,0,1,0
56,27.8,0,4,0
43,27.0,0,4,0
51,29.2,1,5,0
20,33.0,0,5,0
67,31.7,0,1,1
29,19.6,0,3,0
18,14.2,0,1,0
61,31.7,0,4,1
22,20.2,0,4,0
47,25.9,0,2,0
47,21.1,0,5,0
34,18.0,1,7,0
65,29.7,1,7,0
64,30.8,1,7,1
40,24.1,1,2,0
32,14.0,0,0,0
54,24.3,1,7,0
38,29.0,0,4,0
31,19.6,1,2,0
19,27.9,1,1,0
28,26.9,0,5,0
68,29.9,1,5,0
56,27.6,0,3,0
55,22.1,0,1,0
51,33.0,0,3,1
55,26.2,0,2,0
67,26.9,0,6,0
51,22.3,0,7,0
35,24.8,1,0,0
47,22.6,0,1,0
32,26.1,1,1,0
44,35.6,1,1,1
68,20.1,1,3,1
51,18.9,1,2,1
69,34.4,0,1,1
55,26.0,1,6,0
50,23.7,1,1,0
41,32.2,0,5,0
32,24.0,0,7,0
47,36.1,0,0,0
59,30.4,0,7,0
68,24.6,0,5,0
34,37.8,0,5,0
22,24.0,0,0,0
46,30.7,0,6,0
21,28.5,1,2,0
27,33.5,0,5,0
34,34.8,0,2,0
27,27.2,0,5,0
34,23.2,0,4,0
37,29.3,1,0,0
41,23.6,0,5,0
22,37.1,0,4,0
51,27.7,0,7,0
23,25.2,0,3,0
19,27.9,1,4,0
30,20.3,0,1,0
60,22.1,0,5,0
60,33.0,0,4,1
65,23.7,0,2,0
28,21.8,0,3,0
68,29.7,0,6,0
64,32.9,0,5,0
40,30.6,0,1,0
33,32.0,0,6,0
48,23.2,1,4,0
28,19.9,1,6,0
33,34.5,0,6,0
25,25.4,1,3,0
21,25.7,0,7,0
57,33.6,0,6,0
21,29.8,1,6,0
42,29.3,1,5,0
20,37.8,1,7,0
49,23.8,0,3,0
20,31.6,0,1,0
44,27.3,1,4,0
46,28.3,0,3,0
49,34.6,0,3,0
67,29.5,0,0,0
68,29.7,0,3,0
36,32.4,0,7,0
38,25.2,0,0,0
22,22.8,1,4,0
35,21.8,0,6,0
45,17.2,0,5,0
59,37.3,0,5,0
39,21.5,0,4,0
38,25.9,0,4,0
23,25.6,0,7,0
18,28.5,1,2,0
22,31.1,0,6,0
58,31.3,1,4,1
29,24.1,0,3,0
43,26.2,0,7,0
63,28.4,0,5,0
51,25.8,0,1,0
66,35.0,1,7,1
31,29.5,0,5,0
43,30.7,0,0,0
62,30.3,1,7,1
44,32.9,1,5,0
26,27.9,1,2,0
43,20.5,0,7,0
64,29.0,1,7,0
39,23.7,0,6,0
64,24.4,0,4,0
47,29.9,0,6,0
60,33.2,0,7,0
65,27.1,0,4,0
34,28.5,0,5,0
43,35.5,1,1,1
53,28.2,0,1,0
18,40.0,0,7,0
25,29.8,0,2,0
66,18.2,1,0,1
52,30.8,0,5,0
69,28.9,0,4,0
32,33.4,1,7,0
64,30.4,1,5,1
39,26.3,0,7,0
31,20.9,0,2,0
43,26.0,1,3,0
45,22.7,0,3,0
40,24.1,0,2,0
31,29.9,1,4,0
41,35.3,0,6,0
19,29.0,0,2,0
62,21.0,0,7,0
43,29.2,0,4,0
31,33.0,0,1,0
68,24.0,1,2,1
24,26.3,0,4,0
20,27.1,0,2,0
64,23.1,0,2,0
40,30.2,0,6,0
63,26.4,1,6,0
60,29.1,0,7,0
64,22.6,0,4,0
62,24.8,0,4,0
35,30.6,0,0,0
55,25.1,0,2,0
